Date,NASDAQ,KOSPI
2017/03/20,5901.53,2157.01
2017/03/21,5793.82,2178.38
2017/03/22,5821.64,2168.3
2017/03/23,5817.69,2172.72
2017/03/24,5828.74,2168.95
2017/03/27,5840.37,2155.66
2017/03/28,5875.14,2163.31
2017/03/29,5897.55,2166.98
2017/03/30,5914.34,2164.64
2017/03/31,5911.74,2160.23
2017/04/03,5894.68,2167.51
2017/04/04,5898.61,2161.1
2017/04/05,5864.48,2160.85
2017/04/06,5878.95,2152.75
2017/04/07,5877.81,2151.73
2017/04/10,5880.93,2133.32
2017/04/11,5866.77,2123.85
2017/04/12,5836.16,2128.91
2017/04/13,5805.15,2148.61
2017/04/14,5805.15,2134.88
2017/04/17,5856.79,2145.76
2017/04/18,5849.47,2148.46
2017/04/19,5863.03,2138.4
2017/04/20,5916.78,2149.15
2017/04/21,5910.52,2165.04
2017/04/24,5983.82,2173.74
2017/04/25,6025.49,2196.85
2017/04/26,6025.23,2207.84
2017/04/27,6048.94,2209.46
2017/04/28,6047.61,2205.44
2017/05/01,6091.6,2205.44
2017/05/02,6095.37,2219.67
2017/05/03,6072.55,2219.67
2017/05/04,6075.34,2241.24
2017/05/05,6100.76,2241.24
2017/05/08,6102.66,2292.76
2017/05/09,6120.59,2292.76
2017/05/10,6129.14,2270.12
2017/05/11,6115.96,2296.37
2017/05/12,6121.23,2286.02
2017/05/15,6149.67,2290.65
2017/05/16,6169.87,2295.33
2017/05/17,6011.24,2293.08
2017/05/18,6055.13,2286.82
2017/05/19,6083.7,2288.48
2017/05/22,6133.62,2304.03
2017/05/23,6138.71,2311.74
2017/05/24,6163.02,2317.34
2017/05/25,6205.26,2342.93
2017/05/26,6210.19,2355.3
2017/05/29,6210.19,2352.97
2017/05/30,6203.19,2343.68
2017/05/31,6198.52,2347.38
2017/06/01,6246.83,2344.61
2017/06/02,6305.8,2371.72
2017/06/05,6295.68,2368.62
2017/06/06,6275.06,2368.62
2017/06/07,6297.38,2360.14
2017/06/08,6321.76,2363.57
2017/06/09,6207.92,2381.69
2017/06/12,6175.47,2357.87
2017/06/13,6220.37,2374.7
2017/06/14,6194.89,2372.64
2017/06/15,6165.5,2361.65
2017/06/16,6151.76,2361.83
2017/06/19,6239.01,2370.9
2017/06/20,6188.03,2369.23
2017/06/21,6233.95,2357.53
2017/06/22,6236.69,2370.37
2017/06/23,6265.25,2378.6
2017/06/26,6247.15,2388.66
2017/06/27,6146.62,2391.95
2017/06/28,6234.41,2382.56
2017/06/29,6144.35,2395.66
2017/06/30,6140.42,2391.79
2017/07/03,6110.06,2394.48
2017/07/04,6110.06,2380.52
2017/07/05,6150.85,2388.35
2017/07/06,6089.46,2387.81
2017/07/07,6153.08,2379.87
2017/07/10,6176.39,2382.1
2017/07/11,6193.31,2396.0
2017/07/12,6261.17,2391.77
2017/07/13,6274.44,2409.49
2017/07/14,6312.47,2414.63
2017/07/17,6314.43,2425.1
2017/07/18,6344.31,2426.04
2017/07/19,6385.04,2429.94
2017/07/20,6390.0,2441.84
2017/07/21,6387.75,2450.06
2017/07/24,6410.81,2451.53
2017/07/25,6412.17,2439.9
2017/07/26,6422.75,2434.51
2017/07/27,6382.19,2443.24
2017/07/28,6374.68,2400.99
2017/07/31,6348.12,2402.71
2017/08/01,6362.94,2422.96
2017/08/02,6362.65,2427.63
2017/08/03,6340.34,2386.85
2017/08/04,6351.56,2395.45
2017/08/07,6383.77,2398.75
2017/08/08,6370.46,2394.73
2017/08/09,6352.33,2368.39
2017/08/10,6216.87,2359.47
2017/08/11,6256.56,2319.71
2017/08/14,6340.23,2334.22
2017/08/15,6333.01,2334.22
2017/08/16,6345.11,2348.26
2017/08/17,6221.91,2361.67
2017/08/18,6216.53,2358.37
2017/08/21,6213.13,2355.0
2017/08/22,6297.48,2365.33
2017/08/23,6278.41,2366.4
2017/08/24,6271.33,2375.84
2017/08/25,6265.64,2378.51
2017/08/28,6283.02,2370.3
2017/08/29,6301.89,2364.74
2017/08/30,6368.31,2372.29
2017/08/31,6428.66,2363.19
2017/09/01,6435.33,2357.69
2017/09/04,6435.33,2329.65
2017/09/05,6375.57,2326.62
2017/09/06,6393.31,2319.82
2017/09/07,6397.87,2346.19
2017/09/08,6360.19,2343.72
2017/09/11,6432.26,2359.08
2017/09/12,6454.28,2365.47
2017/09/13,6460.19,2360.18
2017/09/14,6429.08,2377.66
2017/09/15,6448.47,2386.07
2017/09/18,6454.64,2418.21
2017/09/19,6461.32,2416.05
2017/09/20,6456.04,2412.2
2017/09/21,6422.69,2406.5
2017/09/22,6426.92,2388.71
2017/09/25,6370.59,2380.4
2017/09/26,6380.16,2374.32
2017/09/27,6453.26,2372.57
2017/09/28,6453.45,2373.14
2017/09/29,6495.96,2394.47
2017/10/02,6516.72,2394.47
2017/10/03,6531.71,2394.47
2017/10/04,6534.63,2394.47
2017/10/05,6585.36,2394.47
2017/10/06,6590.18,2394.47
2017/10/09,6579.73,2394.47
2017/10/10,6587.25,2433.81
2017/10/11,6603.55,2458.16
2017/10/12,6591.51,2474.76
2017/10/13,6605.8,2473.62
2017/10/16,6624.01,2480.05
2017/10/17,6623.66,2484.37
2017/10/18,6624.22,2482.91
2017/10/19,6605.07,2473.06
2017/10/20,6629.05,2489.54
2017/10/23,6586.83,2490.05
2017/10/24,6598.43,2490.49
2017/10/25,6563.89,2492.5
2017/10/26,6556.77,2480.63
2017/10/27,6701.26,2496.63
2017/10/30,6698.96,2501.93
2017/10/31,6727.67,2523.43
2017/11/01,6716.53,2556.47
2017/11/02,6714.94,2546.36
2017/11/03,6764.44,2557.97
2017/11/06,6786.44,2549.41
2017/11/07,6767.78,2545.44
2017/11/08,6789.12,2552.4
2017/11/09,6750.05,2550.57
2017/11/10,6750.94,2542.95
